mco_id,mco_name,mco_owner,owner_id,address,city,state_abbreviation,zip,url,profit_status,private_public,telephone_one,telephone_two,fax,contracted_pbm,contracted_sp_vendor,service_areas,aliases,blues,al,ak,ar,az,ca,co,ct,dc,de,fl,ga,hi,ia,id,il,in,ks,ky,la,ma,me,mi,md,mn,ms,mo,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,ri,sc,sd,tn,tx,ut,va,vt,wa,wi,wv,wy,pr,foreign
485,"Health First Health Plans, Inc.","Health First, Inc.",,6450 U.S. Highway One,Rockledge,FL,32955,www.healthfirsthealthplans.org,For-profit.,Private.,(321) 434-5600,(800) 716-7737,(321) 434-4362,Catamaran Corporation,"Circles of Care, Health First Family Pharmacy",Florida.,Health First Insurance.,NO,0,0,0,0,0,0,0,0,0,59628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
487,"Security Health Plan of Wisconsin, Inc.",Marshfield Clinic.,,1515 Saint Joseph Avenue; P.O. Box 8000,Marshfield,WI,54449-8000,www.securityhealth.org,Not-for-profit.,Private.,(715) 221-9555,(800) 472-2363,(715) 221-9500,,,Wisconsin.,,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181013,0,0,0,
491,Unity Health Insurance,UW Health.,,840 Carolina Street,Sauk City,WI,53583,www.unityhealth.com,For-profit.,Private.,(608) 643-2491,(800) 362-3309,(608) 643-2564,MedImpact Healthcare Systems,UW Health Pharmacies,Wisconsin.,,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150343,0,0,0,
492,Saint Mary's Health Plans,Dignity Health.,,1510 Meadow Wood Lane,Reno,NV,89502,www.saintmaryshealthplans.com,For-profit.,Private.,(775) 770-6000,(800) 433-3077,(775) 770-6253,Catamaran Corporation,,Nevada.,Saint Mary's HealthFirst HMO; Saint Mary's Preferred Health Insurance Company PPO; CDS Group Health TPA.,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
502,"Cox HealthPlans, LLC",CoxHealth.,,"3200 South National, Building B",Springfield,MO,65807,www.coxhealthplans.com,For-profit.,Private.,(417) 269-4679,(800) 664-1244,(417) 269-4667,Catamaran Corporation,,Missouri.,"Cox Health Systems HMO, Inc.; Cox Health Systems Insurance Company.",NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
508,Blue Cross and Blue Shield of Texas (BCBSTX),"Health Care Service Corporation, a mutual legal reserve company.",2,1001 East Lookout Drive,Richardson,TX,75082,www.bcbstx.com,Not-for-profit.,Mutual company.,(972) 766-6900,(800) 521-2227,(972) 766-0862,Prime Therapeutics,Prime Therapeutics,Texas.,"HCSC Insurance Services Company, HMO Blue Texas.",YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4752509,0,0,0,0,0,0,0,0,
363,"Grand Valley Health Plan, Inc. (GVHP)",,,829 Forest Hill Avenue SE,Grand Rapids,MI,49546,www.gvhp.com,For-profit.,Private.,(616) 949-2410,(800) 335-1977,(616) 949-4978,MedImpact Healthcare Systems,Diplomat Specialty Pharmacy,Michigan.,,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
368,CareFirst BlueCross BlueShield,"CareFirst, Inc.",,10455 Mill Run Circle,Owings Mills,MD,21117,www.carefirst.com,Not-for-profit.,Private.,(410) 581-3000,(800) 313-2223,(410) 998-5351,CVS Caremark,"ICORE Healthcare, OncoSourceRx, Walgreens Specialty Pharmacy","District of Columbia, Maryland, Virginia.","CareFirst of Maryland Inc., FirstCare, Group Hospitalization and Medical Services Inc., CareFirst Holdings, CareFirst BlueChoice, CareFirst BluePreferred and Medi-CareFirst.",YES,0,0,0,0,0,0,0,846419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2209229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256033,0,0,0,0,0,0,0
371,Blue Cross and Blue Shield of New Mexico,"Health Care Service Corporation, a mutual legal reserve company.",2,"5701 Balloon Fiesta Parkway, NE",Albuquerque,NM,87113,www.bcbsnm.com,Not-for-profit.,Private.,(505) 291-3500,(505) 653-6000,(505) 837-2600,Prime Therapeutics,PrimeRxSpecialty (a program of Prime Therapeutics with Triessent Specialty Pharmacy),New Mexico.,Formerly HMO New Mexico.,YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
372,Presbyterian Health Plan/Presbyterian Insurance Company,Presbyterian Healthcare Services.,,P.O. Box 27489,Albuquerque,NM,87125,www.phs.org,For-profit.,Private.,(505) 923-5700,(505) 923-5678,(505) 923-5540,Catamaran Corporation,,"Arizona, Colorado, New Mexico, Texas.",Presbyterian Insurance Company.,NO,0,0,0,101,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420223,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,
